Mail ID	From Address ID	To Address ID	Date Sent	Type
197	2	79	10/4/2019	economy
198	59	32	10/3/2019	priority
199	38	32	11/6/2019	economy
200	71	40	10/7/2019	economy
201	4	84	10/1/2019	priority
202	74	88	11/4/2019	normal
203	17	3	10/7/2019	economy
204	30	0	11/5/2019	normal
205	56	94	11/7/2019	economy
206	0	26	11/2/2019	normal
207	21	65	11/3/2019	normal
208	89	17	11/5/2019	normal
209	5	52	11/4/2019	priority
210	9	37	12/2/2019	normal
211	64	4	10/2/2019	priority
212	56	49	11/6/2019	normal
213	70	68	10/6/2019	normal
214	76	90	11/2/2019	economy
215	13	70	11/3/2019	normal
216	93	1	11/1/2019	normal
217	54	18	11/1/2019	normal
218	8	80	11/4/2019	normal
219	73	76	11/6/2019	economy
220	56	99	11/6/2019	economy
221	39	1	10/6/2019	economy
222	93	36	11/1/2019	priority
223	16	31	11/7/2019	normal
224	13	21	11/6/2019	normal
225	66	74	10/1/2019	economy
226	64	97	11/7/2019	priority
227	8	69	11/6/2019	priority
228	60	54	10/3/2019	normal
229	80	28	11/4/2019	economy
230	56	86	12/4/2019	priority
231	71	87	11/6/2019	priority
232	89	19	11/4/2019	priority
233	99	20	10/2/2019	normal
234	43	88	11/4/2019	priority
235	6	22	10/5/2019	economy
236	99	86	10/4/2019	priority
237	47	64	10/5/2019	economy
238	96	18	10/7/2019	normal
239	37	24	11/7/2019	normal
240	81	8	11/4/2019	economy
241	14	56	11/5/2019	normal
242	38	92	11/3/2019	priority
243	38	89	11/6/2019	economy
244	60	90	10/2/2019	priority
245	36	11	11/2/2019	normal
246	46	39	11/1/2019	economy
247	94	93	10/3/2019	economy
248	91	50	10/2/2019	economy
249	58	68	10/3/2019	priority
250	99	38	10/5/2019	economy
251	32	89	11/7/2019	economy
252	10	59	10/7/2019	normal
253	95	99	11/7/2019	economy
254	47	20	10/1/2019	priority
255	12	56	11/5/2019	economy
256	32	12	10/4/2019	normal
257	56	42	10/4/2019	normal
258	83	10	10/3/2019	priority
259	84	61	11/3/2019	normal
260	11	32	11/7/2019	normal
261	32	69	11/6/2019	priority
262	23	56	11/5/2019	economy
263	28	15	12/3/2019	economy
264	24	59	10/3/2019	economy
265	53	49	12/4/2019	economy
266	24	59	11/2/2019	normal
267	81	17	11/3/2019	normal
268	22	16	11/7/2019	economy
269	51	5	10/4/2019	priority
270	83	50	11/1/2019	normal
271	58	88	11/6/2019	normal
272	99	77	10/3/2019	normal
273	64	16	11/7/2019	normal
274	86	56	11/7/2019	economy
275	68	30	10/4/2019	economy
276	67	59	10/5/2019	priority
277	94	6	12/2/2019	priority
278	41	89	11/6/2019	priority
279	86	4	11/6/2019	normal
280	72	16	10/2/2019	normal
281	22	29	11/5/2019	priority
282	55	67	11/6/2019	priority
283	34	76	11/3/2019	priority
284	29	88	10/4/2019	priority
285	1	88	11/2/2019	economy
286	79	32	12/2/2019	economy
287	35	47	11/3/2019	priority
288	62	1	10/1/2019	priority
289	71	12	10/4/2019	economy
290	85	82	11/3/2019	normal
291	14	5	11/2/2019	economy
292	28	42	11/4/2019	economy
293	8	33	10/7/2019	normal
294	6	11	10/1/2019	economy
295	2	67	11/2/2019	economy
296	90	85	11/7/2019	economy
297	97	1	11/6/2019	priority
298	19	62	11/6/2019	priority
299	32	9	10/2/2019	normal
300	27	51	10/1/2019	priority
301	49	40	10/5/2019	priority
302	12	30	10/2/2019	normal
303	68	82	10/6/2019	normal
304	73	92	11/1/2019	economy
305	67	14	11/7/2019	economy
306	56	49	11/3/2019	priority
307	75	73	10/7/2019	priority
308	32	11	10/3/2019	priority
309	44	22	10/5/2019	normal
310	61	82	10/1/2019	priority
311	5	92	11/2/2019	normal
312	9	0	11/5/2019	economy
313	91	92	10/4/2019	normal
314	7	13	10/3/2019	economy
315	94	78	10/3/2019	priority
316	94	10	12/1/2019	priority
317	99	90	11/2/2019	economy
318	11	74	10/1/2019	priority
319	34	86	11/3/2019	economy
320	52	1	11/6/2019	normal
321	77	74	11/3/2019	normal
322	96	34	10/2/2019	normal
323	53	82	11/2/2019	priority
324	28	45	10/2/2019	normal
325	94	99	10/6/2019	economy
326	81	56	10/2/2019	priority
327	84	49	11/7/2019	priority
328	58	75	10/2/2019	economy
329	9	76	11/6/2019	priority
330	35	84	10/4/2019	economy
331	23	19	10/5/2019	priority
332	52	38	11/5/2019	normal
333	49	57	11/1/2019	priority
334	70	61	10/1/2019	priority
335	18	8	10/4/2019	priority
336	0	4	11/7/2019	priority
337	64	62	11/4/2019	economy
338	55	13	11/5/2019	priority
339	63	12	11/4/2019	priority
340	38	78	11/1/2019	economy
341	24	77	11/5/2019	priority
342	87	29	12/3/2019	normal
343	87	85	11/4/2019	economy
344	26	69	11/7/2019	normal
345	85	9	11/1/2019	normal
346	70	64	11/4/2019	priority
347	99	64	11/2/2019	economy
348	34	12	11/3/2019	economy
349	44	97	10/2/2019	priority
350	40	14	11/3/2019	priority
351	15	91	11/7/2019	priority
352	53	68	10/3/2019	economy
353	17	35	10/4/2019	economy
354	12	57	12/2/2019	priority
355	66	21	12/3/2019	priority
356	92	54	11/6/2019	normal
357	52	39	10/2/2019	normal
358	50	26	11/7/2019	priority
359	44	28	10/5/2019	economy
360	54	3	10/5/2019	normal
361	51	66	11/6/2019	priority
362	5	32	10/5/2019	normal
363	88	65	10/5/2019	normal
364	58	0	11/1/2019	normal
365	10	37	11/2/2019	normal
366	11	10	11/5/2019	normal
367	61	85	11/4/2019	normal
368	35	83	11/6/2019	priority
369	60	54	11/6/2019	economy
370	78	94	11/3/2019	normal
371	98	46	10/3/2019	economy
372	19	65	10/2/2019	normal
373	29	2	11/4/2019	priority
374	45	66	11/1/2019	normal
375	21	86	10/4/2019	priority
376	49	48	11/7/2019	priority
377	35	6	11/2/2019	economy
378	94	25	11/2/2019	normal
379	60	1	11/4/2019	priority
380	51	23	10/4/2019	normal
381	71	72	10/4/2019	normal
382	26	43	10/5/2019	economy
383	11	84	10/2/2019	priority
384	50	14	11/7/2019	economy
385	15	23	10/2/2019	priority
386	2	46	11/1/2019	economy
387	53	44	10/6/2019	economy
388	45	62	11/2/2019	economy
389	65	70	10/1/2019	economy
390	14	52	10/1/2019	normal
391	25	73	11/6/2019	normal
392	81	38	10/7/2019	priority
393	15	85	11/3/2019	economy
394	34	83	11/7/2019	economy
395	55	6	10/7/2019	priority
396	86	13	11/4/2019	priority
397	3	34	11/6/2019	economy
398	74	33	11/4/2019	economy
399	20	85	11/3/2019	priority
400	25	11	10/3/2019	priority
401	77	75	10/1/2019	economy
402	1	9	10/4/2019	economy
403	60	82	10/2/2019	priority
404	63	66	11/2/2019	normal
405	33	39	10/5/2019	normal
406	17	2	11/7/2019	normal
407	33	5	10/6/2019	economy
408	32	56	11/2/2019	priority
409	80	11	10/3/2019	economy
410	68	92	11/7/2019	normal
411	10	21	11/7/2019	priority
412	59	98	11/5/2019	economy
413	70	6	10/4/2019	priority
414	32	16	10/1/2019	economy
415	8	9	10/5/2019	normal
416	54	81	10/1/2019	priority
417	7	81	10/4/2019	normal
418	60	52	10/6/2019	normal
419	39	31	11/3/2019	economy
420	13	21	11/7/2019	normal
421	64	38	11/1/2019	normal
422	87	8	10/5/2019	economy
423	3	68	11/1/2019	economy
424	57	37	10/5/2019	normal
425	50	46	10/4/2019	normal
426	23	94	10/7/2019	economy
427	9	12	10/4/2019	economy
428	18	57	10/4/2019	normal
429	63	64	11/6/2019	economy
430	24	41	11/2/2019	economy
431	98	11	11/6/2019	economy
432	24	1	11/6/2019	priority
433	12	61	11/4/2019	priority
434	9	1	11/4/2019	normal
435	30	60	11/1/2019	priority
436	21	84	12/3/2019	normal
437	79	11	11/7/2019	priority
438	87	84	11/6/2019	priority
439	28	50	10/4/2019	normal
440	42	51	10/1/2019	normal
441	12	46	11/6/2019	economy
442	96	59	12/3/2019	economy
443	36	27	11/6/2019	economy
444	4	32	11/4/2019	priority
445	70	86	11/5/2019	normal
446	34	89	11/7/2019	economy
447	74	21	11/5/2019	economy
448	40	37	11/3/2019	normal
449	48	53	11/2/2019	economy
450	18	63	10/6/2019	normal
451	93	14	10/6/2019	priority
452	96	32	12/4/2019	normal
453	87	71	10/4/2019	economy
454	14	97	10/2/2019	normal
455	15	41	10/7/2019	economy
456	12	69	11/2/2019	economy
457	59	30	11/1/2019	economy
458	50	57	11/6/2019	economy
459	23	91	10/4/2019	economy
460	6	89	10/2/2019	economy
461	1	62	11/2/2019	economy
462	30	22	11/1/2019	priority
463	8	65	11/5/2019	priority
464	49	19	11/5/2019	normal
465	39	5	10/1/2019	economy
466	17	60	11/6/2019	economy
467	96	14	11/4/2019	normal
468	25	71	11/2/2019	priority
469	95	46	11/4/2019	normal
470	91	50	10/3/2019	economy
471	9	84	11/6/2019	priority
472	70	72	11/4/2019	priority
473	65	91	11/6/2019	normal
474	28	96	10/1/2019	economy
475	4	97	11/3/2019	normal
476	59	58	11/7/2019	economy
477	13	10	11/3/2019	priority
478	5	77	10/2/2019	priority
479	4	44	11/5/2019	normal
480	79	51	10/1/2019	priority
481	9	90	12/1/2019	priority
482	28	2	10/1/2019	priority
483	94	62	10/7/2019	priority
484	28	0	11/1/2019	economy
485	91	67	11/7/2019	economy
486	78	13	11/5/2019	normal
487	31	51	11/5/2019	priority
488	47	96	11/1/2019	economy
489	65	51	12/5/2019	economy
490	55	60	12/1/2019	normal
491	54	83	10/5/2019	priority
492	6	4	11/4/2019	economy
493	27	23	10/3/2019	normal
494	67	55	11/4/2019	normal
495	99	45	10/6/2019	economy
496	39	33	10/1/2019	priority
497	56	37	12/4/2019	priority
498	1	47	11/3/2019	priority
499	59	93	10/2/2019	priority
500	53	67	10/4/2019	priority
501	2	30	10/1/2019	economy
502	11	96	10/2/2019	normal
503	38	60	12/2/2019	economy
504	2	24	11/7/2019	normal
505	30	31	10/6/2019	economy
506	45	26	12/3/2019	economy
507	44	34	10/3/2019	economy
508	30	20	11/4/2019	economy
509	14	2	10/3/2019	normal
510	10	56	11/7/2019	normal
511	8	25	10/7/2019	economy
512	75	30	10/1/2019	normal
513	71	8	10/2/2019	economy
514	13	91	10/3/2019	priority
515	91	66	10/5/2019	economy
516	13	3	10/5/2019	priority
517	59	11	11/6/2019	economy
518	49	48	10/7/2019	economy
519	60	54	10/4/2019	priority
520	51	35	11/6/2019	priority
521	83	54	10/7/2019	normal
522	24	13	10/4/2019	economy
523	12	57	11/3/2019	priority
524	28	73	11/7/2019	normal
525	78	32	10/3/2019	economy
526	45	42	10/7/2019	normal
527	14	78	10/1/2019	priority
528	2	56	11/2/2019	priority
529	17	14	12/5/2019	economy
530	81	16	11/4/2019	economy
531	89	92	11/6/2019	economy
532	1	19	11/7/2019	priority
533	84	2	11/1/2019	priority
534	77	18	11/7/2019	normal
535	59	71	10/6/2019	priority
536	15	7	11/7/2019	economy
537	86	61	10/3/2019	priority
538	89	58	10/4/2019	normal
539	77	27	11/6/2019	economy
540	0	69	12/2/2019	priority
541	30	2	11/4/2019	economy
542	40	54	10/3/2019	normal
543	29	54	11/6/2019	normal
544	12	92	11/3/2019	normal
545	35	78	10/7/2019	normal
546	68	32	11/4/2019	economy
547	60	34	11/7/2019	priority
548	16	14	11/6/2019	priority
549	84	17	11/2/2019	normal
550	32	61	10/2/2019	economy
551	65	32	11/6/2019	priority
552	25	74	10/5/2019	economy
553	98	74	10/6/2019	normal
554	86	61	11/2/2019	normal
555	40	25	11/7/2019	economy
556	85	73	11/1/2019	priority
557	50	32	12/2/2019	normal
558	59	2	10/7/2019	economy
559	29	15	11/7/2019	economy
560	24	76	11/6/2019	economy
561	84	33	11/7/2019	priority
562	4	77	10/6/2019	priority
563	28	33	10/4/2019	economy
564	89	77	11/4/2019	normal
565	5	15	11/4/2019	normal
566	98	81	10/3/2019	normal
567	18	96	12/3/2019	priority
568	92	53	11/1/2019	economy
569	2	62	10/6/2019	economy
570	10	21	11/7/2019	priority
571	21	75	11/3/2019	priority
572	37	43	11/7/2019	normal
573	91	94	11/4/2019	economy
574	27	49	11/5/2019	normal
575	73	26	11/2/2019	priority
576	38	71	11/1/2019	normal
577	38	27	10/3/2019	normal
578	52	83	10/6/2019	priority
579	52	86	11/2/2019	economy
580	34	92	10/5/2019	economy
581	97	48	10/6/2019	normal
582	29	45	11/7/2019	economy
583	68	12	11/5/2019	normal
584	86	46	10/5/2019	normal
585	42	48	10/5/2019	economy
586	28	24	12/4/2019	normal
587	14	6	10/5/2019	normal
588	94	84	11/2/2019	priority
589	6	89	11/3/2019	priority
590	99	13	11/1/2019	normal
591	58	44	10/1/2019	priority
592	69	77	11/7/2019	normal
593	46	57	11/6/2019	economy
594	34	62	10/6/2019	priority
595	67	11	11/5/2019	economy
596	58	92	12/1/2019	normal
597	97	70	10/2/2019	priority
598	74	42	10/4/2019	priority
599	0	61	11/2/2019	economy
600	89	22	11/4/2019	normal
601	17	88	12/2/2019	normal
602	22	72	11/7/2019	priority
603	15	25	11/4/2019	normal
604	66	38	10/7/2019	economy
605	6	23	10/4/2019	priority
606	30	24	10/7/2019	normal
607	37	12	10/2/2019	economy
608	73	1	11/7/2019	priority
609	11	31	11/1/2019	normal
610	96	18	11/4/2019	normal
611	24	56	10/1/2019	priority
612	16	65	10/6/2019	priority
613	6	61	10/4/2019	economy
614	81	31	11/5/2019	priority
615	93	71	12/5/2019	normal
616	74	52	10/5/2019	economy
617	43	84	11/4/2019	priority
618	3	71	10/7/2019	economy
619	55	43	11/3/2019	economy
620	64	80	11/7/2019	economy
621	76	38	11/5/2019	economy
622	82	51	11/2/2019	normal
623	95	69	10/3/2019	priority
624	16	70	11/2/2019	normal
625	45	44	10/1/2019	normal
626	59	96	11/3/2019	priority
627	76	6	10/2/2019	economy
628	59	48	10/3/2019	normal
629	66	46	10/7/2019	normal
630	86	82	11/4/2019	normal
631	67	20	11/3/2019	priority
632	60	9	11/6/2019	economy
633	33	39	11/2/2019	priority
634	10	14	10/5/2019	economy
635	2	18	10/4/2019	normal
636	16	83	10/3/2019	normal
637	73	6	10/6/2019	priority
638	66	76	11/1/2019	economy
639	59	27	11/5/2019	economy
640	50	70	10/3/2019	normal
641	5	56	11/2/2019	priority
642	10	40	10/6/2019	priority
643	98	24	11/2/2019	normal
644	72	64	10/7/2019	economy
645	93	86	11/3/2019	economy
646	11	92	11/4/2019	normal
647	61	1	10/4/2019	economy
648	19	45	12/1/2019	economy
649	86	41	10/6/2019	normal
650	54	18	10/1/2019	priority
651	89	37	10/3/2019	normal
652	35	56	11/1/2019	priority
653	47	69	12/4/2019	priority
654	51	65	11/2/2019	economy
655	94	0	11/2/2019	priority
656	23	93	11/3/2019	normal
657	66	18	11/1/2019	normal
658	2	39	10/6/2019	economy
659	35	6	11/2/2019	normal
660	93	70	10/1/2019	normal
661	37	36	11/4/2019	normal
662	16	95	10/4/2019	economy
663	66	48	11/6/2019	normal
664	69	38	10/3/2019	priority
665	53	21	12/3/2019	priority
666	88	10	11/1/2019	economy
667	50	96	11/6/2019	normal
668	14	40	10/6/2019	normal
669	99	79	11/7/2019	economy
670	23	53	10/3/2019	economy
671	98	77	10/7/2019	economy
672	90	77	10/4/2019	priority
673	41	23	12/1/2019	normal
674	76	77	11/3/2019	priority
675	4	47	11/6/2019	normal
676	16	11	10/6/2019	priority
677	21	27	11/3/2019	economy
678	85	17	10/7/2019	normal
679	8	17	10/6/2019	economy
680	14	98	10/5/2019	normal
681	23	20	11/6/2019	priority
682	72	49	11/5/2019	economy
683	16	2	11/5/2019	priority
684	7	69	10/1/2019	economy
685	0	1	10/3/2019	normal
686	69	62	11/7/2019	economy
687	90	9	10/3/2019	normal
688	48	20	11/7/2019	normal
689	93	14	10/7/2019	economy
690	3	57	11/2/2019	priority
691	38	58	10/7/2019	normal
692	32	87	11/7/2019	economy
693	53	94	10/7/2019	priority
694	99	36	10/7/2019	priority
695	14	56	12/5/2019	priority
696	63	77	12/5/2019	priority
697	71	72	11/5/2019	priority
698	19	11	10/4/2019	priority
699	86	59	12/1/2019	normal
700	66	68	11/1/2019	priority
701	5	82	11/4/2019	priority
702	61	4	11/7/2019	priority
703	96	74	10/4/2019	priority
704	16	83	10/4/2019	normal
705	47	22	11/4/2019	normal
706	95	17	11/4/2019	economy
707	43	46	11/3/2019	normal
708	76	67	10/6/2019	priority
709	28	3	10/3/2019	normal
710	8	28	11/1/2019	economy
711	79	21	11/7/2019	priority
712	90	60	11/3/2019	economy
713	66	67	11/1/2019	priority
714	44	55	11/4/2019	priority
715	7	64	12/5/2019	economy
716	40	32	10/1/2019	priority
717	99	87	10/3/2019	priority
718	51	37	11/5/2019	economy
719	68	74	10/5/2019	economy
720	80	40	10/6/2019	normal
721	26	38	11/2/2019	normal
722	16	67	10/1/2019	normal
723	95	9	10/5/2019	priority
724	75	57	10/7/2019	priority
725	68	72	11/3/2019	economy
726	85	45	11/3/2019	priority
727	52	61	11/7/2019	priority
728	38	42	11/5/2019	priority
729	33	69	10/3/2019	normal
730	24	59	11/4/2019	priority
731	43	16	12/4/2019	economy
732	61	60	11/7/2019	normal
733	4	87	10/1/2019	normal
734	36	45	11/5/2019	normal
735	78	24	10/6/2019	priority
736	8	31	12/4/2019	economy
737	40	93	11/7/2019	normal
738	71	55	11/4/2019	priority
739	3	46	11/7/2019	priority
740	53	29	10/6/2019	normal
741	67	84	10/7/2019	priority
742	36	28	10/7/2019	economy
743	19	26	10/5/2019	economy
744	33	78	11/1/2019	priority
745	50	24	10/1/2019	normal
746	0	41	10/5/2019	economy
747	89	64	11/2/2019	priority
748	27	52	10/7/2019	priority
749	6	31	10/1/2019	normal
750	21	53	11/5/2019	economy
751	46	41	12/4/2019	priority
752	8	38	10/4/2019	priority
753	68	73	10/4/2019	economy
754	16	34	10/6/2019	economy
755	14	80	10/6/2019	priority
756	17	45	10/3/2019	priority
757	85	75	10/5/2019	normal
758	8	83	11/1/2019	normal
759	44	53	10/5/2019	priority
760	2	19	10/3/2019	normal
761	74	68	11/2/2019	normal
762	39	77	11/4/2019	normal
763	54	69	11/4/2019	normal
764	1	37	10/7/2019	priority
765	43	48	11/7/2019	economy
766	24	93	10/3/2019	economy
767	2	42	12/4/2019	priority
768	67	37	10/5/2019	priority
769	0	83	10/6/2019	priority
770	25	59	11/3/2019	economy
771	57	37	11/6/2019	priority
772	3	93	10/3/2019	normal
773	52	50	11/6/2019	priority
774	80	1	10/1/2019	priority
775	80	86	10/3/2019	economy
776	94	74	11/7/2019	priority
777	90	66	11/1/2019	normal
778	65	5	11/3/2019	normal
779	14	15	10/1/2019	economy
780	57	15	10/1/2019	economy
781	66	44	10/7/2019	economy
782	96	8	10/6/2019	economy
783	84	86	10/5/2019	normal
784	91	19	11/3/2019	normal
785	32	77	11/7/2019	priority
786	41	40	11/6/2019	priority
787	78	50	11/7/2019	economy
788	4	10	10/3/2019	priority
789	99	14	10/4/2019	priority
790	42	3	11/4/2019	priority
791	56	23	12/5/2019	economy
792	18	25	10/2/2019	priority
793	6	58	11/2/2019	normal
794	88	37	11/1/2019	economy
795	31	94	10/7/2019	normal
796	4	30	11/4/2019	priority
797	12	71	11/4/2019	normal
798	23	90	11/6/2019	priority
799	66	45	10/2/2019	economy
800	98	57	11/1/2019	normal
801	0	21	10/1/2019	priority
802	6	13	11/7/2019	economy
803	47	62	10/6/2019	normal
804	96	83	10/5/2019	economy
805	24	47	12/1/2019	economy
806	6	55	11/4/2019	priority
807	17	43	11/7/2019	economy
808	26	69	10/7/2019	economy
809	35	42	12/1/2019	economy
810	48	35	11/6/2019	priority
811	90	34	11/7/2019	priority
812	9	78	11/6/2019	economy
813	84	81	11/2/2019	priority
814	26	86	10/6/2019	normal
815	30	99	11/2/2019	normal
816	39	7	10/3/2019	economy
817	57	55	11/2/2019	economy
818	97	81	10/4/2019	normal
819	58	40	11/1/2019	normal
820	23	30	10/7/2019	priority
821	10	54	10/2/2019	normal
822	43	47	10/4/2019	priority
823	26	98	10/7/2019	normal
824	10	20	11/5/2019	normal
825	12	66	10/7/2019	normal
826	43	80	10/2/2019	priority
827	20	6	10/7/2019	priority
828	27	91	11/5/2019	normal
829	20	53	10/2/2019	priority
830	91	59	10/3/2019	normal
831	61	3	10/7/2019	normal
832	68	40	11/4/2019	economy
833	94	24	11/1/2019	normal
834	96	24	11/5/2019	priority
835	25	80	10/6/2019	priority
836	85	11	11/2/2019	priority
837	10	44	10/4/2019	normal
838	27	31	10/7/2019	economy
839	89	78	11/1/2019	normal
840	46	67	12/5/2019	economy
841	7	40	11/6/2019	priority
842	47	56	10/2/2019	priority
843	78	59	11/3/2019	economy
844	26	70	10/6/2019	normal
845	14	10	12/5/2019	priority
846	46	76	10/4/2019	priority
847	7	19	11/7/2019	economy
848	44	63	11/7/2019	priority
849	75	83	10/1/2019	economy
850	23	95	11/1/2019	economy
851	27	86	11/5/2019	economy
852	32	8	10/6/2019	normal
853	57	9	10/5/2019	priority
854	97	52	10/1/2019	economy
855	61	29	10/4/2019	normal
856	31	40	11/2/2019	normal
857	46	77	11/4/2019	priority
858	70	78	10/2/2019	economy
859	14	45	12/3/2019	economy
860	90	27	11/6/2019	economy
861	63	89	11/4/2019	economy
862	92	14	10/2/2019	priority
863	43	89	10/4/2019	priority
864	80	50	11/4/2019	normal
865	89	31	11/5/2019	economy
866	97	72	10/6/2019	economy
867	8	25	10/4/2019	economy
868	3	14	10/3/2019	normal
869	2	25	11/2/2019	normal
870	17	12	11/4/2019	priority
